CODPARC;NUMCONTRATO;DTCONTRATO;STATUSCONTRATO;CEP
183028;534489;2017-06-26 00:00:00.000;ATIVO;94810000
183059;534201;2017-06-03 00:00:00.000;ATIVO;94855160
183085;536451;2020-03-17 00:00:00.000;ATIVO;94855020
183090;534409;2017-06-07 00:00:00.000;ATIVO;94855780
183100;534328;2017-06-12 00:00:00.000;ATIVO;94856190
183103;534329;2017-06-14 00:00:00.000;ATIVO;94843752
183126;536527;2020-07-23 00:00:00.000;ATIVO;94850250
183129;534446;2017-08-07 00:00:00.000;ATIVO;94859020
183140;534235;2017-08-08 00:00:00.000;ATIVO;94859120
183193;534288;2017-09-06 00:00:00.000;ATIVO;94853050
183303;534261;2017-10-11 00:00:00.000;ATIVO;94834414
183351;534361;2017-10-31 00:00:00.000;ATIVO;94859020
183359;534461;2017-11-07 00:00:00.000;ATIVO;94824320
183361;534467;2017-11-08 00:00:00.000;ATIVO;94859050
183379;534193;2017-11-02 00:00:00.000;ATIVO;94853270
183477;534618;2017-12-13 00:00:00.000;ATIVO;94859120
183555;534630;2018-01-18 00:00:00.000;ATIVO;94853270
183675;537206;2021-02-01 00:00:00.000;ATIVO;94850520
183723;535620;2019-05-24 00:00:00.000;ATIVO;94834250
183995;534876;2018-06-18 00:00:00.000;ATIVO;94810120
184211;534941;2018-08-07 00:00:00.000;ATIVO;94859070
184218;534707;2018-08-08 00:00:00.000;ATIVO;94850195
184427;534763;2018-09-19 00:00:00.000;ATIVO;94850620
184502;538244;2022-06-14 00:00:00.000;ATIVO;94838680
184713;534700;2018-11-10 00:00:00.000;ATIVO;94838440
184774;535284;2018-11-24 00:00:00.000;ATIVO;94850620
184864;534862;2018-12-10 00:00:00.000;ATIVO;94855030
185045;535255;2019-01-26 00:00:00.000;ATIVO;94832128
185235;535367;2019-03-03 00:00:00.000;ATIVO;94828140
185883;535641;2019-08-27 00:00:00.000;ATIVO;94834430
185898;535397;2019-08-30 00:00:00.000;ATIVO;94850810
185967;535876;2019-09-26 00:00:00.000;ATIVO;94853720
186026;535855;2019-10-26 00:00:00.000;ATIVO;94818040
186063;535895;2019-10-31 00:00:00.000;ATIVO;94856250
186265;536099;2020-01-21 00:00:00.000;ATIVO;94838370
186519;536118;2020-03-05 00:00:00.000;ATIVO;94836000
186809;536124;2020-06-12 00:00:00.000;ATIVO;94810080
186946;536224;2020-07-20 00:00:00.000;ATIVO;94853600
187432;564536;2023-10-04 15:03:32.000;NEFETIVADO;94838550
187500;538311;2021-01-31 00:00:00.000;ATIVO;94834324
187681;535931;2020-11-28 00:00:00.000;ATIVO;94855160
188144;536765;2021-02-28 00:00:00.000;ATIVO;94850080
188173;537560;2021-03-04 00:00:00.000;ATIVO;94820010
188254;538226;2021-03-08 00:00:00.000;ATIVO;94810590
188291;536907;2021-03-17 00:00:00.000;ATIVO;94858000
188302;537617;2021-03-18 00:00:00.000;ATIVO;94810160
188426;537174;2021-04-08 00:00:00.000;ATIVO;94828500
188600;537353;2021-05-12 00:00:00.000;ATIVO;94850818
188830;537382;2021-06-26 00:00:00.000;ATIVO;94859240
188923;538403;2021-07-12 00:00:00.000;ATIVO;94850730
189009;538289;2021-07-24 00:00:00.000;ATIVO;94859440
189136;538541;2021-08-17 00:00:00.000;ATIVO;94850170
189310;538194;2021-09-29 00:00:00.000;ATIVO;94853310
189497;536707;2021-11-25 00:00:00.000;ATIVO;94853800
189498;536708;2021-11-25 00:00:00.000;ATIVO;94857550
189686;538478;2022-01-25 00:00:00.000;ATIVO;94852370
189759;537667;2022-02-23 00:00:00.000;ATIVO;94850230
190158;537781;2022-06-03 00:00:00.000;ATIVO;94810020
191086;539213;2020-04-22 00:00:00.000;ATIVO;94810080
191112;539035;2018-02-05 00:00:00.000;ATIVO;94850520
191318;539300;2019-12-20 00:00:00.000;ATIVO;94828580
191424;539021;2017-10-10 00:00:00.000;ATIVO;94814730
191484;539121;2018-04-13 00:00:00.000;ATIVO;94859090
191564;539190;2019-08-06 00:00:00.000;ATIVO;94855150
192957;539345;2020-11-01 00:00:00.000;ATIVO;94855220
193365;539725;2021-03-12 00:00:00.000;ATIVO;94818290
196606;540688;2020-05-19 00:00:00.000;ATIVO;94832128
196939;541205;2021-12-08 00:00:00.000;ATIVO;94858395
200042;544259;2022-11-22 13:21:16.000;SUSPENSO;94818330
213146;557539;2023-06-12 16:41:59.000;ATIVO;94820380
221568;564740;2023-10-09 12:50:20.000;ATIVO;94818470
224334;567154;2023-11-16 16:52:14.000;ATIVO;94858656
226603;569078;2023-12-21 08:08:40.000;CARENCIA;94852430
226622;569101;2023-12-21 10:27:04.000;SUSPENSO;94834835
227241;569509;2024-01-05 10:21:57.000;CARENCIA;94853800
227528;569671;2024-01-10 09:50:13.000;CARENCIA;94852010
227836;569865;2024-01-16 08:55:29.000;CARENCIA;94852070
227948;569992;2024-01-18 10:17:06.000;SUSPENSO;94838550
228594;570444;2024-01-31 15:23:25.000;CARENCIA;94814520
229837;571277;2024-02-28 10:21:31.000;CARENCIA;94820410
230086;571448;2024-03-04 10:42:52.000;NEFETIVADO;94828160
230340;571641;2024-03-08 08:50:03.000;CARENCIA;94834063
230500;571764;2024-03-11 16:00:02.000;EFETIVADO;94834142
230615;571861;2024-03-13 16:55:57.000;EFETIVADO;94818450
230855;572059;2024-03-18 14:22:43.000;EFETIVADO;94834680
230861;572064;2024-03-18 14:59:54.000;EFETIVADO;94834061
231518;572528;2024-04-01 13:20:06.000;EFETIVADO;94853290
232202;573020;2024-04-11 12:10:03.000;NEFETIVADO;94834680
232206;573021;2024-04-11 12:18:44.000;NEFETIVADO;94810120
109007;431514;2015-06-19 00:00:00.000;ATIVO;29230000
217495;561287;2023-08-09 08:24:52.000;ATIVO;23954090
224610;567333;2023-11-20 15:37:00.000;SUSPENSO;23914545
64954;446454;2017-11-17 00:00:00.000;ATIVO;49035300
162730;510022;2021-10-01 17:55:03.000;NEFETIVADO;49044199
65958;559073;2023-07-07 09:34:04.000;ATIVO;39600000
139439;479127;2020-08-13 17:58:47.000;ATIVO;39600000
219610;563207;2023-09-09 08:31:56.000;ATIVO;39600000
199280;543417;2022-11-16 09:53:07.000;ATIVO;38440128
184737;534859;2018-11-15 00:00:00.000;ATIVO;96178000
190128;538372;2022-05-27 00:00:00.000;ATIVO;96178000
62572;517440;2022-01-20 13:57:31.000;ATIVO;38184560
72061;453622;2018-09-24 00:00:00.000;ATIVO;38182278
86264;467831;2020-01-03 00:00:00.000;ATIVO;38180147
110276;395093;2007-07-16 00:00:00.000;ATIVO;38180054
122953;470256;2020-04-16 00:00:00.000;ATIVO;38181313
230622;571866;2024-03-13 20:12:37.000;EFETIVADO;42622966
80654;462221;2019-07-22 00:00:00.000;ATIVO;28959740
185423;535577;2019-04-22 00:00:00.000;ATIVO;95585000
187300;536353;2020-09-28 00:00:00.000;ATIVO;95585000
189533;537922;2021-12-03 00:00:00.000;ATIVO;95585000
189428;537762;2021-11-08 00:00:00.000;ATIVO;96740000
194890;539535;2022-08-29 00:00:00.000;ATIVO;96740000
186479;536463;2020-02-20 00:00:00.000;ATIVO;96419230
78546;460113;2019-05-30 00:00:00.000;ATIVO;35732000
80418;461985;2019-07-18 00:00:00.000;ATIVO;35732000
82839;494047;2021-03-10 14:01:38.000;NEFETIVADO;35706000
169627;520420;2022-03-10 13:49:48.000;ATIVO;35733000
199461;570294;2024-01-29 09:17:42.000;SUSPENSO;35706000
219729;563298;2023-09-11 14:39:18.000;ATIVO;88330015
226131;568662;2023-12-13 15:30:49.000;CARENCIA;88330798
188929;538449;2021-07-13 00:00:00.000;ATIVO;88955000
180589;535068;2019-01-25 00:00:00.000;ATIVO;95599000
181111;536638;2021-08-04 00:00:00.000;ATIVO;95599000
181353;537747;2022-05-25 00:00:00.000;ATIVO;95599000
181506;537442;2021-07-01 00:00:00.000;ATIVO;95599000
181812;537647;2021-04-12 00:00:00.000;ATIVO;95599000
183817;537750;2022-05-25 00:00:00.000;ATIVO;95599000
183829;537124;2022-04-05 00:00:00.000;ATIVO;95599000
185276;535377;2019-03-16 00:00:00.000;ATIVO;95599000
185283;535387;2019-03-18 00:00:00.000;ATIVO;95599000
185503;535464;2019-05-07 00:00:00.000;ATIVO;95599000
186793;536102;2020-06-08 00:00:00.000;ATIVO;95599000
186801;536103;2020-06-09 00:00:00.000;ATIVO;95599000
188106;537856;2021-02-23 00:00:00.000;ATIVO;95599000
188846;537368;2021-06-29 00:00:00.000;ATIVO;95599000
189823;538431;2022-03-10 00:00:00.000;ATIVO;95599000
190713;538763;2022-09-27 00:00:00.000;ATIVO;95599000
191139;539605;2022-08-15 00:00:00.000;ATIVO;95550900
160816;552030;2023-03-22 13:06:53.000;ATIVO;38900000
167914;517907;2022-01-29 09:09:06.000;ATIVO;38900000
41613;485382;2020-11-06 18:25:24.000;ATIVO;35970000
136556;517556;2022-01-24 10:05:14.000;ATIVO;35970000
178332;532225;2022-09-05 10:27:35.000;ATIVO;35970000
175953;529563;2022-07-27 10:47:28.000;ATIVO;36200610
185395;535494;2019-04-12 00:00:00.000;ATIVO;92870000
191115;539476;2021-11-08 00:00:00.000;ATIVO;96790000
35784;411899;2011-11-09 00:00:00.000;ATIVO;35447000
209428;554065;2023-04-24 10:33:54.000;ATIVO;30664630
81213;462780;2019-08-09 00:00:00.000;ATIVO;36212000
232031;572876;2024-04-09 12:01:13.000;EFETIVADO;0
6;5039;2020-03-13 00:00:00.000;ATIVO;30622730
14;7;2000-11-08 00:00:00.000;SUSPENSO;30624214
15;11;2019-08-27 00:00:00.000;ATIVO;31870413
17;505349;2021-07-30 12:06:38.000;ATIVO;30668610
18;86;1995-08-12 00:00:00.000;ATIVO;30670040
19;939;1996-05-08 00:00:00.000;ATIVO;30530060
20;954;1996-05-10 00:00:00.000;ATIVO;31580490
21;1158;2018-09-12 00:00:00.000;ATIVO;31814650
22;1165;2010-07-26 00:00:00.000;ATIVO;31950430
23;521336;2022-03-21 14:09:47.000;ATIVO;31070430
24;1227;1996-06-30 00:00:00.000;ATIVO;31525010
29;2371;2012-11-26 00:00:00.000;ATIVO;30810310
30;2402;2010-10-20 00:00:00.000;ATIVO;31210335
31;2898;2010-04-20 00:00:00.000;ATIVO;31150390
33;2933;2019-05-07 00:00:00.000;ATIVO;31578020
38;2012;1997-04-28 00:00:00.000;ATIVO;31975320
39;2032;1997-06-06 00:00:00.000;ATIVO;30451225
40;2047;1997-07-15 00:00:00.000;ATIVO;30250030
42;491181;2021-02-01 10:08:29.000;SUSPENSO;31035480
43;2096;2020-04-27 00:00:00.000;ATIVO;30840704
47;520463;2022-03-11 08:24:02.000;ATIVO;30230100
48;479065;2020-08-13 10:30:05.000;ATIVO;31910580
49;621;2010-05-26 00:00:00.000;ATIVO;31060560
50;488432;2020-12-10 14:55:11.000;ATIVO;30240107
52;692;1995-12-18 00:00:00.000;ATIVO;30335080
53;2654;2010-07-07 00:00:00.000;ATIVO;30690800
54;2708;1998-10-07 00:00:00.000;ATIVO;31750560
55;514823;2021-11-25 12:01:33.000;ATIVO;31870040
56;533644;2022-09-21 15:33:56.000;ATIVO;30642170
58;313;2013-09-10 00:00:00.000;ATIVO;30250440
66;320;1995-08-31 00:00:00.000;ATIVO;31230570
69;3169;2010-05-07 00:00:00.000;ATIVO;30666510
70;3173;2010-05-07 00:00:00.000;ATIVO;31050040
77;3188;2010-05-05 00:00:00.000;ATIVO;30260370
79;3205;2010-12-14 00:00:00.000;ATIVO;31050110
83;2443;2010-03-10 00:00:00.000;ATIVO;31110340
84;2446;2019-06-17 00:00:00.000;ATIVO;31010360
85;2471;2010-03-03 00:00:00.000;ATIVO;30285690
86;996;1996-09-05 00:00:00.000;ATIVO;31985170
91;2152;1998-01-05 00:00:00.000;ATIVO;30110070
92;2177;1998-02-20 00:00:00.000;ATIVO;30295360
94;493033;2021-02-22 14:57:08.000;ATIVO;30240600
95;2251;2009-06-18 00:00:00.000;ATIVO;30285160
97;1876;2011-01-22 00:00:00.000;ATIVO;30516350
98;498852;2021-05-11 14:30:33.000;ATIVO;31050230
101;1970;1996-09-01 00:00:00.000;ATIVO;31540100
102;1975;1997-03-03 00:00:00.000;SUSPENSO;30230160
104;1988;1997-04-01 00:00:00.000;ATIVO;31950540
107;236;2010-05-07 00:00:00.000;ATIVO;31540000
108;2775;2010-03-16 00:00:00.000;ATIVO;30285270
109;740;1996-02-07 00:00:00.000;SUSPENSO;31530360
110;784;1996-02-28 00:00:00.000;ATIVO;30880590
111;491369;2021-02-03 11:55:52.000;SUSPENSO;30865150
112;2540;2010-10-22 00:00:00.000;ATIVO;31998445
115;2265;1998-07-03 00:00:00.000;ATIVO;31620070
116;2272;1998-07-09 00:00:00.000;ATIVO;30240320
117;2273;2010-06-09 00:00:00.000;ATIVO;31842210
118;1640;2010-03-04 00:00:00.000;ATIVO;31842470
119;1649;2019-03-11 00:00:00.000;ATIVO;30285132
121;399;2013-09-09 00:00:00.000;ATIVO;30690250
123;483085;2020-10-13 11:41:13.000;ATIVO;30626620
126;3730;2010-04-12 00:00:00.000;ATIVO;30628020
127;509315;2021-09-23 11:34:59.000;ATIVO;30220422
128;3838;1998-12-11 00:00:00.000;ATIVO;30285160
129;3076;2010-05-04 00:00:00.000;ATIVO;30295400
131;3108;2010-05-07 00:00:00.000;ATIVO;30666540
141;5354;2001-01-23 00:00:00.000;ATIVO;30620470
142;5368;2001-01-08 00:00:00.000;ATIVO;30285300
149;508285;2021-09-10 10:40:34.000;ATIVO;31210610
150;272;1997-04-22 00:00:00.000;ATIVO;31110650
151;274;2018-09-21 00:00:00.000;ATIVO;30286070
152;517546;2022-01-24 08:54:22.000;ATIVO;30881420
153;3465;2010-03-19 00:00:00.000;ATIVO;31530390
154;491064;2021-01-28 14:39:37.000;ATIVO;30286060
156;5093;2019-01-30 00:00:00.000;ATIVO;31230640
157;5095;2000-05-26 00:00:00.000;ATIVO;31578260
159;5101;2000-05-30 00:00:00.000;ATIVO;30380470
160;5102;2000-06-12 00:00:00.000;ATIVO;31655250
161;498352;2021-05-04 13:27:06.000;SUSPENSO;30622530
162;546496;2022-12-28 15:50:53.000;ATIVO;31810210
163;5107;2019-04-17 00:00:00.000;ATIVO;31920400
164;565696;2023-10-25 13:18:42.000;ATIVO;31970110
166;5117;2000-06-12 00:00:00.000;ATIVO;31770150
168;5121;2019-03-25 00:00:00.000;ATIVO;31255720
169;5122;2020-05-30 00:00:00.000;ATIVO;30626390
170;540134;2022-10-10 09:12:48.000;ATIVO;31730220
171;5127;2000-06-15 00:00:00.000;ATIVO;30820490
172;5139;2019-02-12 00:00:00.000;ATIVO;30850230
173;3240;1998-11-16 00:00:00.000;ATIVO;31050270
174;478346;2020-08-03 13:38:21.000;ATIVO;30624200
175;5622;2001-07-13 00:00:00.000;ATIVO;31770270
178;489625;2021-01-06 11:39:24.000;ATIVO;30285350
179;5635;2001-06-29 00:00:00.000;ATIVO;30455210
180;5641;2001-05-21 00:00:00.000;ATIVO;31660160
181;4321;1999-01-12 00:00:00.000;ATIVO;31655250
186;531;2013-09-09 00:00:00.000;ATIVO;30220330
187;537;2019-11-28 00:00:00.000;ATIVO;30260030
188;548;2013-09-09 00:00:00.000;ATIVO;30310300
189;572222;2024-03-21 13:18:33.000;ATIVO;30240094
191;5904;2002-03-06 00:00:00.000;ATIVO;31990605
193;5912;2002-03-15 00:00:00.000;ATIVO;31990605
194;526981;2022-06-13 13:33:49.000;ATIVO;31150710
195;5919;2002-03-26 00:00:00.000;ATIVO;31910310
197;5940;2002-04-08 00:00:00.000;ATIVO;30664710
198;503249;2021-07-03 10:57:21.000;ATIVO;30280440
200;5147;2000-07-14 00:00:00.000;ATIVO;31570570
201;5149;2000-07-10 00:00:00.000;ATIVO;30672360
202;5158;2000-08-23 00:00:00.000;ATIVO;30280390
203;5159;2000-08-01 00:00:00.000;SUSPENSO;30881310
204;572906;2024-04-09 15:52:32.000;NEFETIVADO;30881310
206;545838;2022-12-15 13:47:11.000;ATIVO;31640005
207;541283;2022-10-17 09:46:37.000;ATIVO;30575580
216;5190;2000-09-03 00:00:00.000;ATIVO;31930340
217;5192;2000-10-10 00:00:00.000;ATIVO;30514280
218;5194;2000-09-17 00:00:00.000;ATIVO;31630500
219;5196;2020-06-10 00:00:00.000;ATIVO;30620410
220;5201;2001-02-15 00:00:00.000;ATIVO;31070030
223;4366;1999-01-15 00:00:00.000;ATIVO;30431180
242;4382;2010-02-24 00:00:00.000;ATIVO;31250290
243;4405;2010-02-24 00:00:00.000;ATIVO;30295330
245;5377;2001-01-15 00:00:00.000;ATIVO;30451225
247;5386;2019-08-06 00:00:00.000;ATIVO;30285180
248;5388;2001-02-28 00:00:00.000;ATIVO;31570500
249;517676;2022-01-25 16:36:50.000;ATIVO;30882740
263;568616;2023-12-13 09:01:37.000;ATIVO;30620095
264;5408;2001-03-14 00:00:00.000;ATIVO;31655290
276;3602;2013-09-05 00:00:00.000;ATIVO;30260430
277;564119;2023-09-25 09:53:43.000;SUSPENSO;31550150
278;5226;2019-07-26 00:00:00.000;ATIVO;31540580
280;5230;2020-02-18 00:00:00.000;ATIVO;31035200
281;5234;2000-10-10 00:00:00.000;ATIVO;30850470
283;5250;2010-03-01 00:00:00.000;ATIVO;31360515
284;5251;2000-10-16 00:00:00.000;ATIVO;31870500
285;5257;2000-10-23 00:00:00.000;ATIVO;31585060
287;5260;2000-11-01 00:00:00.000;ATIVO;30518010
288;5270;2000-11-08 00:00:00.000;ATIVO;30664740
289;570867;2024-02-16 09:41:00.000;ATIVO;30260280
290;5281;2000-11-08 00:00:00.000;ATIVO;30881310
293;5662;2018-09-03 00:00:00.000;ATIVO;31150560
297;5703;2001-08-01 00:00:00.000;ATIVO;31160040
300;4127;2010-02-25 00:00:00.000;ATIVO;30280469
301;4139;2019-07-09 00:00:00.000;ATIVO;30550032
302;4166;2013-09-04 00:00:00.000;ATIVO;30230550
307;5947;2002-04-15 00:00:00.000;ATIVO;31620240
309;5961;2018-08-18 00:00:00.000;ATIVO;30285200
310;5968;2002-04-29 00:00:00.000;ATIVO;30810330
311;5969;2002-04-29 00:00:00.000;ATIVO;30810330
312;5984;2019-11-11 00:00:00.000;ATIVO;30421458
314;6004;2002-05-13 00:00:00.000;ATIVO;30280190
315;6005;2002-05-14 00:00:00.000;ATIVO;30285270
316;6006;2002-05-15 00:00:00.000;ATIVO;30285310
317;6007;2002-05-15 00:00:00.000;ATIVO;30240113
319;508066;2021-09-06 15:23:36.000;ATIVO;30295240
320;6012;2002-05-16 00:00:00.000;ATIVO;30820115
323;6121;2002-06-19 00:00:00.000;ATIVO;30240560
324;6123;2019-06-19 00:00:00.000;ATIVO;30240570
325;6126;2002-06-21 00:00:00.000;ATIVO;30285143
326;6127;2002-06-21 00:00:00.000;ATIVO;30285140
335;6137;2002-06-27 00:00:00.000;ATIVO;30240288
348;3384;2010-03-19 00:00:00.000;ATIVO;31655610
356;565903;2023-10-30 11:43:04.000;ATIVO;30672140
358;5018;2000-04-28 00:00:00.000;ATIVO;30285160
371;5028;2000-06-07 00:00:00.000;ATIVO;31910780
373;5035;2000-05-15 00:00:00.000;ATIVO;31610420
375;4468;1999-02-01 00:00:00.000;ATIVO;30664600
377;6661;2002-11-08 00:00:00.000;ATIVO;30451225
380;5472;2001-04-12 00:00:00.000;ATIVO;30810395
381;5474;2001-04-17 00:00:00.000;ATIVO;30666332
382;561140;2023-08-07 16:15:24.000;ATIVO;31110050
385;5482;2001-06-10 00:00:00.000;ATIVO;30810570
386;5483;2001-04-19 00:00:00.000;ATIVO;31742472
389;5493;2001-05-21 00:00:00.000;ATIVO;31741427
391;5501;2001-04-30 00:00:00.000;ATIVO;31844200
392;5502;2001-06-28 00:00:00.000;ATIVO;31360660
394;547227;2023-01-13 12:24:59.000;ATIVO;30240380
395;5283;2000-12-05 00:00:00.000;ATIVO;30240360
396;5284;2001-01-02 00:00:00.000;ATIVO;30882740
397;491867;2021-02-09 15:26:43.000;ATIVO;31970200
400;5300;2001-01-19 00:00:00.000;ATIVO;30285160
401;5303;2001-02-25 00:00:00.000;ATIVO;30662302
402;5305;2019-09-11 00:00:00.000;ATIVO;31578460
405;5325;2001-04-30 00:00:00.000;ATIVO;30451565
406;5327;2000-12-30 00:00:00.000;SUSPENSO;31872650
408;5334;2000-12-27 00:00:00.000;ATIVO;30662320
410;5735;2001-10-05 00:00:00.000;ATIVO;31155350
411;5736;2001-10-15 00:00:00.000;ATIVO;31525250
413;5739;2001-10-17 00:00:00.000;ATIVO;31842500
414;5750;2018-03-07 00:00:00.000;ATIVO;30624350
415;5764;2001-11-14 00:00:00.000;ATIVO;31150430
416;5765;2001-11-08 00:00:00.000;ATIVO;31235110
417;5769;2001-11-19 00:00:00.000;ATIVO;30492015
418;3700;2010-04-14 00:00:00.000;ATIVO;31872420
419;560091;2023-07-20 09:42:14.000;ATIVO;30451225
423;6017;2002-05-17 00:00:00.000;ATIVO;31365170
425;6022;2019-01-31 00:00:00.000;ATIVO;30290350
434;7549;2019-02-13 00:00:00.000;ATIVO;31910650
436;6031;2002-05-22 00:00:00.000;ATIVO;30240282
438;6063;2002-06-05 00:00:00.000;ATIVO;30664750
439;6066;2019-10-21 00:00:00.000;ATIVO;30220330
440;6072;2002-06-07 00:00:00.000;ATIVO;30530080
441;6076;2020-01-28 00:00:00.000;ATIVO;31573370
442;6077;2002-06-10 00:00:00.000;ATIVO;31950620
